t,AntennaId,EventCode,PhoneId,x,y,TileId
0,38,0,244,3902.733863,3678.511203,575
0,38,0,388,3801.941749,3364.157938,535
0,38,0,560,3969.222647,3153.281075,495
0,38,0,673,4442.698549,3128.609921,497
10,38,2,673,4302.682249,3230.637002,497
10,38,2,560,3890.058433,3266.797822,535
10,38,1,388,3718.434908,3484.347510,534
10,38,1,244,3793.648617,3805.877810,615
20,38,2,673,4167.430041,3338.900244,536
20,38,2,560,3776.871016,3346.432193,535
30,38,2,673,4035.730546,3451.458372,536
30,38,1,560,3688.745593,3453.141773,534
40,38,2,673,3939.241331,3595.346943,575
40,38,0,537,4612.892732,2934.639240,458
40,38,0,536,4612.892732,2934.639240,458
50,38,1,673,3817.259932,3718.369817,575
50,38,2,537,4512.770659,3053.554059,498
50,38,2,536,4512.770659,3053.554059,498
60,38,2,537,4428.884536,3184.429122,497
60,38,2,536,4428.884536,3184.429122,497
70,38,2,537,4428.884536,3184.429122,497
70,38,2,536,4428.884536,3184.429122,497
80,38,2,537,4428.884536,3184.429122,497
80,38,2,536,4428.884536,3184.429122,497
80,38,0,263,4914.566564,3433.284449,539
90,38,2,537,4428.884536,3184.429122,497
90,38,2,536,4428.884536,3184.429122,497
90,38,2,263,4779.374052,3554.040476,579
100,38,2,537,4315.217157,3290.471052,537
100,38,2,536,4315.217157,3290.471052,537
100,38,2,263,4653.786389,3684.756857,578
110,38,2,537,4218.557787,3412.217222,536
110,38,2,536,4218.557787,3412.217222,536
110,38,1,263,4535.847459,3822.413829,618
120,38,2,537,4129.649110,3539.733539,576
120,38,2,536,4129.649110,3539.733539,576
130,38,2,537,4005.218001,3632.911127,576
130,38,2,536,4005.218001,3632.911127,576
140,38,1,537,3892.432246,3739.890271,575
140,38,1,536,3892.432246,3739.890271,575
820,38,0,230,4341.384366,3853.368516,617
830,38,2,230,4240.801682,3742.435227,576
840,38,2,230,4128.333886,3643.571353,576
850,38,2,230,4128.333886,3643.571353,576
860,38,2,230,4128.333886,3643.571353,576
870,38,2,230,4128.333886,3643.571353,576
880,38,2,230,4048.971835,3516.588142,576
890,38,2,230,3954.168388,3400.677067,535
