"tile","time","probL"
593,0,7.99141323474806e-35
594,0,7.17104698211341e-23
595,0,1.5152605858443e-22
596,0,7.62269811719725e-21
632,0,5.23720007839757e-55
633,0,2.16553278196251e-29
634,0,9.04436186680766e-18
635,0,1.65392518847655e-11
636,0,2.52151147044286e-13
637,0,5.88479866834405e-12
671,0,1.36814085489627e-57
672,0,4.01964455951094e-42
673,0,9.69266823682782e-20
674,0,4.35480711297954e-09
675,0,1.30098444701106e-06
676,0,3.87731152441074e-05
677,0,1.10825127924641e-09
678,0,5.39144336149903e-15
710,0,1.09273481353201e-34
711,0,3.92064220048611e-31
712,0,1.7769018118147e-24
713,0,1.26628257523201e-10
714,0,0.000614786021704798
715,0,0.145011238922587
716,0,0.000326202601156182
717,0,6.63957232142569e-08
718,0,9.25328202140046e-16
719,0,4.06109932324337e-23
750,0,8.17323623772233e-22
751,0,8.30963798128213e-20
752,0,4.00693336028235e-11
753,0,2.67796957368735e-06
754,0,0.445923233724238
755,0,0.0314934669354005
756,0,0.00211017305783296
757,0,3.03601865916118e-09
758,0,1.65925684226051e-15
759,0,4.15658029969295e-25
790,0,9.09875138313232e-20
791,0,1.1312108097608e-11
792,0,2.20122261734041e-08
793,0,0.100416185549644
794,0,0.0684751351995843
795,0,0.160257097049281
796,0,3.95366402277328e-05
797,0,2.18909451887555e-09
798,0,7.93401498467499e-18
799,0,8.71640456311598e-26
830,0,3.42800807388219e-17
831,0,1.99910301858334e-13
832,0,7.22517111535941e-06
833,0,0.000148970192773818
834,0,0.0433818554856823
835,0,0.00172411645962362
836,0,2.06985905624002e-05
837,0,7.68599491681949e-12
838,0,1.51419713548308e-18
839,0,1.47902766353203e-28
871,0,6.21263269226623e-12
872,0,4.99633349586846e-10
873,0,1.90274754616921e-06
874,0,7.57958753709721e-07
875,0,4.56233978938238e-06
876,0,3.46495544727247e-09
877,0,9.80973567135931e-13
878,0,4.4068448308206e-21
912,0,3.70702089554208e-13
913,0,1.84331198976787e-13
914,0,5.35912712242947e-12
915,0,6.92466267564705e-13
916,0,1.42281631863534e-13
917,0,9.08838967269541e-18
953,0,2.54068659569844e-20
954,0,9.13165652364899e-21
955,0,2.05543628532441e-19
956,0,2.05754823702379e-21
593,10,5.54654412832481e-46
594,10,3.05325359345287e-29
595,10,3.58775413509203e-29
596,10,4.58456736218937e-27
632,10,8.70618642868227e-71
633,10,6.48938381745797e-37
634,10,1.13486831596821e-20
635,10,4.83885534709272e-15
636,10,3.2077994637883e-16
637,10,1.60512806645341e-15
671,10,1.79961643814902e-72
672,10,1.14137211132725e-51
673,10,7.82941813531377e-22
674,10,5.75942709087493e-11
675,10,1.36445003451657e-07
676,10,1.24916412542967e-06
677,10,6.82370645427901e-12
678,10,1.98359893107181e-19
710,10,4.23028170007573e-46
711,10,1.85809552630975e-40
712,10,6.86997196235882e-29
713,10,1.72782740204398e-12
714,10,0.000368722922833037
715,10,0.141562935548753
716,10,0.000144441209434055
717,10,4.70765588673617e-10
718,10,2.57445698872641e-20
719,10,2.16472438055938e-29
750,10,1.2921910520762e-27
751,10,1.1977283496493e-23
752,10,5.22211282199222e-13
753,10,6.6794192672221e-08
754,10,0.457889974373884
755,10,0.0314417653556307
756,10,0.000758905487888534
757,10,2.30894455161218e-11
758,10,5.5657198660947e-20
759,10,1.07493380543465e-31
790,10,3.80525692356703e-24
791,10,2.12310133880675e-15
792,10,2.71305738177095e-10
793,10,0.0971524976752442
794,10,0.0697059728530954
795,10,0.158485860826987
796,10,4.00934390762266e-06
797,10,1.05077884169689e-11
798,10,6.87575502506655e-23
799,10,2.5039437379489e-33
830,10,4.95199740249468e-21
831,10,1.57904228657458e-16
832,10,1.32046123524518e-07
833,10,2.2393514275683e-05
834,10,0.0413208722145307
835,10,0.00113944186313179
836,10,4.67551874846247e-07
837,10,8.53518876980204e-15
838,10,1.69917541046963e-24
839,10,6.74213904789596e-37
871,10,8.48897388267108e-16
872,10,1.065179321731e-12
873,10,3.05559934788423e-08
874,10,2.97586131674552e-08
875,10,9.36196354445612e-08
876,10,3.14219378990396e-11
877,10,1.28712201484779e-16
878,10,1.04959585108497e-27
