"time_from","time_to","tile_from","tile_to","probL"
0,10,1361,1361,4.05219014271007e-13
10,20,1361,1361,9.27751702732956e-15
20,30,1361,1361,2.12427795377089e-16
30,40,1361,1361,4.88252446911267e-18
40,50,1361,1361,1.30780055765985e-19
50,60,1361,1361,2.19929745562407e-20
60,70,1361,1361,1.95063163630896e-20
70,80,1361,1361,1.94532779545287e-20
80,90,1361,1361,1.9455823427886e-20
90,100,1361,1361,1.94595095797361e-20
100,110,1361,1361,1.94630924335112e-20
110,120,1361,1361,1.94665459644759e-20
120,130,1361,1361,1.9469871945426e-20
130,140,1361,1361,1.94730726969196e-20
140,150,1361,1361,1.94761504649309e-20
150,160,1361,1361,1.94791074082528e-20
160,170,1361,1361,1.94819455998054e-20
170,180,1361,1361,1.94846670282001e-20
180,190,1361,1361,1.94872735992476e-20
190,200,1361,1361,1.94897671374027e-20
200,210,1361,1361,1.9492149387148e-20
210,220,1361,1361,1.94944220143164e-20
220,230,1361,1361,1.94965866073545e-20
230,240,1361,1361,1.94986446785265e-20
240,250,1361,1361,1.95005976650618e-20
250,260,1361,1361,1.95024469302439e-20
260,270,1361,1361,1.95041937644447e-20
270,280,1361,1361,1.95058393861027e-20
280,290,1361,1361,1.95073849426469e-20
290,300,1361,1361,1.95088315113671e-20
300,310,1361,1361,1.95101801002302e-20
310,320,1361,1361,1.95114316486452e-20
320,330,1361,1361,1.9512587028175e-20
330,340,1361,1361,1.95136470431977e-20
340,350,1361,1361,1.95146124315161e-20
350,360,1361,1361,1.95154838649173e-20
360,370,1361,1361,1.95162619496823e-20
370,380,1361,1361,1.95169472270457e-20
380,390,1361,1361,1.95175401736055e-20
390,400,1361,1361,1.95180412016855e-20
400,410,1361,1361,1.95184506596469e-20
410,420,1361,1361,1.95187688321534e-20
420,430,1361,1361,1.95189959403864e-20
430,440,1361,1361,1.95191321422129e-20
440,450,1361,1361,1.95191775323052e-20
450,460,1361,1361,1.95191321422129e-20
460,470,1361,1361,1.95189959403864e-20
470,480,1361,1361,1.95187688321534e-20
480,490,1361,1361,1.95184506596469e-20
490,500,1361,1361,1.95180412016855e-20
500,510,1361,1361,1.95175401736055e-20
510,520,1361,1361,1.95169472270457e-20
520,530,1361,1361,1.95162619496824e-20
530,540,1361,1361,1.95154838649173e-20
540,550,1361,1361,1.95146124315161e-20
550,560,1361,1361,1.95136470431977e-20
560,570,1361,1361,1.95125870281751e-20
570,580,1361,1361,1.95114316486452e-20
580,590,1361,1361,1.95101801002302e-20
590,600,1361,1361,1.95088315113671e-20
600,610,1361,1361,1.9507384942647e-20
610,620,1361,1361,1.95058393861027e-20
620,630,1361,1361,1.95041937644447e-20
630,640,1361,1361,1.95024469302439e-20
640,650,1361,1361,1.95005976650618e-20
650,660,1361,1361,1.94986446785265e-20
660,670,1361,1361,1.94965866073545e-20
670,680,1361,1361,1.94944220143165e-20
680,690,1361,1361,1.9492149387148e-20
690,700,1361,1361,1.94897671374027e-20
700,710,1361,1361,1.94872735992476e-20
710,720,1361,1361,1.94846670282001e-20
720,730,1361,1361,1.94819455998054e-20
730,740,1361,1361,1.94791074082528e-20
740,750,1361,1361,1.94761504649309e-20
750,760,1361,1361,1.94730726969196e-20
760,770,1361,1361,1.9469871945426e-20
770,780,1361,1361,1.94665459644759e-20
780,790,1361,1361,1.94630924335113e-20
790,800,1361,1361,1.94595095797361e-20
800,810,1361,1361,1.9455823427886e-20
810,820,1361,1361,1.94532779545287e-20
820,830,1361,1361,1.95063163630896e-20
830,840,1361,1361,2.19929745562407e-20
840,850,1361,1361,1.30780055765985e-19
850,860,1361,1361,4.88252446911265e-18
860,870,1361,1361,2.12427795377088e-16
870,880,1361,1361,9.27751702732952e-15
880,890,1361,1361,4.05219014271005e-13
0,10,1362,1361,5.25147259778376e-20
10,20,1362,1361,3.26591248263271e-21
20,30,1362,1361,2.03110610210333e-22
30,40,1362,1361,1.26339956824319e-23
40,50,1362,1361,7.88213482743036e-25
50,60,1362,1361,5.15322534659929e-26
60,70,1362,1361,5.72876354395327e-27
70,80,1362,1361,2.89116693856098e-27
80,90,1362,1361,2.72567562371777e-27
90,100,1362,1361,2.7264082005539e-27
100,110,1362,1361,2.73752299766442e-27
110,120,1362,1361,2.74932821578515e-27
120,130,1362,1361,2.76122121736287e-27
130,140,1362,1361,2.77316463074001e-27
140,150,1362,1361,2.78515623762546e-27
150,160,1362,1361,2.79719600381879e-27
160,170,1362,1361,2.8092840285571e-27
170,180,1362,1361,2.82142041685635e-27
180,190,1362,1361,2.83360527146235e-27
