t,Antenna ID,Event Code,Device ID,x,y, Tile ID
0,28,0,715,4017.365882,7033.911588,1136
0,54,0,296,9327.626917,3230.046302,517
0,25,0,235,2194.794202,3325.632218,528
0,62,0,151,7826.635085,2489.385143,391
0,50,0,534,9822.370187,1066.857849,199
0,39,0,155,5277.111029,1260.113645,221
0,19,0,114,1407.183024,7679.474827,1205
0,25,0,451,1761.867384,3206.837344,487
0,28,0,137,3406.703184,7232.940724,1133
0,27,0,520,2818.848208,2529.371181,411
0,27,0,494,3494.796566,1574.559950,253
0,50,0,766,8831.585585,791.116813,155
0,63,0,73,5385.004273,2341.879489,381
0,31,0,702,6724.990354,7158.475480,1146
0,57,0,79,9483.034870,3585.342010,597
0,32,0,199,5664.304916,8206.082905,1302
0,13,0,648,315.518092,3164.136775,481
0,47,0,341,8912.681760,4512.099714,755
0,36,0,352,7812.828643,7956.653752,1271
0,34,0,658,8542.203686,8123.056557,1314
0,32,0,389,7004.132255,8932.137450,1428
0,35,0,570,9203.426546,9307.604680,1516
0,23,0,756,1155.784095,5331.673527,844
0,29,0,442,4718.285805,6410.000769,1018
0,27,0,656,3615.594032,3067.613757,494
0,48,0,768,4808.739853,2591.181985,419
0,58,0,480,7844.102394,6533.893034,1071
0,24,0,323,2018.458826,4556.364385,728
0,27,0,180,3804.043620,2153.297635,335
0,69,0,125,5024.150046,5306.714889,860
0,25,0,386,1630.735109,2596.572786,406
0,57,0,78,9483.034870,3585.342010,597
0,67,0,474,8965.359679,5599.615586,915
0,66,0,345,5383.270821,4391.444475,701
0,19,0,713,1222.445972,8094.413214,1284
0,46,0,424,5844.023698,2165.739238,343
0,61,0,206,8487.871224,2478.463162,393
0,48,0,144,4451.092161,2664.932007,417
0,36,0,372,7406.255810,7802.143160,1269
0,41,0,558,9600.143025,7777.383583,1278
0,23,0,750,827.643940,4769.514169,763
0,37,0,400,1342.964723,1252.751245,205
0,23,0,277,226.461100,5039.362023,800
0,36,0,334,7540.468958,8127.817983,1310
0,21,0,107,1011.776955,6348.545538,1004
0,19,0,469,401.852316,7816.286393,1241
0,21,0,560,762.681780,5705.244945,883
0,30,0,486,5765.110384,5386.471611,863
0,68,0,454,8371.244415,5215.228723,833
0,39,0,550,5522.847059,1851.281069,302
0,50,0,111,9469.643030,1357.018333,237
0,42,0,208,8146.366708,6010.178976,992
0,5,0,440,7430.034034,5802.271551,949
0,61,0,459,8393.364908,2281.636833,393
0,61,0,770,8526.394314,2483.066671,394
0,3,0,512,5813.306917,6497.103867,1023
0,37,0,355,1818.907130,1248.410821,167
0,24,0,704,2762.851596,6107.575102,971
0,66,0,215,5700.441774,4203.796343,662
0,21,0,141,301.514260,6596.221082,1041
0,5,0,554,6888.149782,5280.164790,867
0,5,0,553,6888.149782,5280.164790,867
0,5,0,523,7234.191141,5126.284290,828
0,19,0,307,876.605215,6961.912426,1083
0,63,0,530,4074.266296,1236.313454,176
0,3,0,203,4934.241941,6878.629124,1099
0,3,0,222,5826.054702,7910.078681,1263
0,3,0,310,5767.838122,6918.533440,1103
0,68,0,591,7640.934076,5206.243538,830
0,23,0,594,1466.469183,5040.718909,805
0,3,0,687,5873.636064,6274.287668,1023
