t,AntennaId,EventCode,PhoneId,x,y,TileId
0,24,0,214,2002.243844,5408.822185,848
0,24,0,265,3072.195987,5976.713092,932
0,24,0,320,2257.464477,4628.068565,729
0,24,0,406,3228.538882,4998.240319,772
0,24,0,457,2383.411677,4413.754488,689
0,24,0,458,2383.411677,4413.754488,689
0,24,0,535,3060.545276,5350.316075,852
0,24,0,600,2334.549115,4731.807503,729
10,24,2,600,2334.549115,4731.807503,729
10,24,2,535,3040.158982,5369.527995,852
10,24,2,458,2383.411677,4413.754488,689
10,24,2,457,2383.411677,4413.754488,689
10,24,2,406,3210.572015,5021.972311,812
10,24,2,320,2235.701050,4645.123910,728
10,24,2,265,2981.572049,6079.070817,971
10,24,2,214,1904.559262,5550.593353,887
20,24,2,600,2334.549115,4731.807503,729
20,24,2,535,3019.717835,5388.681543,852
20,24,2,458,2383.411677,4413.754488,689
20,24,2,457,2383.411677,4413.754488,689
20,24,2,406,3192.053823,5045.276653,812
20,24,2,320,2216.752301,4665.260355,728
20,24,2,265,2883.363938,6174.175858,971
20,24,2,214,1820.860522,5701.045548,887
30,24,0,755,2795.174782,4571.560556,731
30,24,2,600,2334.549115,4731.807503,729
30,24,2,535,3003.899673,5411.800466,852
30,24,2,458,2383.411677,4413.754488,689
30,24,2,457,2383.411677,4413.754488,689
30,24,2,406,3172.659737,5067.857290,812
30,24,2,320,2195.806502,4683.310425,728
30,24,2,265,2883.363938,6174.175858,971
30,24,2,214,1694.794275,5818.300156,926
40,24,2,755,2688.771594,4671.762610,730
40,24,0,695,3424.228470,5448.248594,853
40,24,0,694,3424.228470,5448.248594,853
40,24,2,600,2334.549115,4731.807503,729
40,24,2,535,2983.321520,5430.806741,851
40,24,2,458,2383.411677,4413.754488,689
40,24,2,457,2383.411677,4413.754488,689
40,24,2,406,3149.942268,5087.090915,812
40,24,2,320,2176.973528,4703.555193,728
40,24,2,265,2883.363938,6174.175858,971
40,24,2,214,1583.149909,5949.360743,926
50,24,2,755,2582.158473,4771.741270,770
50,24,2,695,3289.039755,5564.369557,893
50,24,2,694,3289.039755,5564.369557,893
50,24,2,600,2334.549115,4731.807503,729
50,24,2,535,2967.233696,5453.738832,851
50,24,2,458,2383.411677,4413.754488,689
50,24,2,457,2383.411677,4413.754488,689
50,24,2,406,3131.417235,5110.389819,812
50,24,2,320,2155.814742,4721.355116,728
50,24,2,265,2883.363938,6174.175858,971
50,24,1,214,1460.248160,6069.928160,965
60,24,2,755,2464.641717,4858.642950,769
60,24,2,695,3152.297770,5678.657335,892
60,24,2,694,3152.297770,5678.657335,892
60,24,2,600,2334.549115,4731.807503,729
60,24,2,535,2948.412207,5474.486131,851
60,24,2,458,2383.411677,4413.754488,689
60,24,2,457,2383.411677,4413.754488,689
60,24,2,406,3111.564105,5132.567939,812
60,24,2,320,2135.070379,4739.636335,728
60,24,2,265,2883.363938,6174.175858,971
70,24,2,755,2364.004687,4964.634828,769
70,24,2,695,3046.166331,5821.822219,932
70,24,2,694,3046.166331,5821.822219,932
70,24,2,600,2334.549115,4731.807503,729
70,24,2,535,2929.721932,5495.351713,851
70,24,2,458,2383.411677,4413.754488,689
70,24,2,457,2383.411677,4413.754488,689
70,24,2,406,3087.696216,5150.353877,812
70,24,2,320,2115.755689,4759.422043,768
70,24,2,265,2883.363938,6174.175858,971
80,24,2,755,2251.482423,5057.913068,809
80,24,2,695,2915.670249,5943.192888,931
80,24,2,694,2915.670249,5943.192888,931
80,24,2,600,2334.549115,4731.807503,729
80,24,2,535,2909.640718,5514.882298,891
80,24,2,458,2383.411677,4413.754488,689
80,24,2,457,2383.411677,4413.754488,689
80,24,2,406,3071.221591,5175.145055,812
80,24,2,320,2095.082167,4777.783334,768
80,24,2,265,2883.363938,6174.175858,971
90,24,2,755,2152.516000,5165.466483,808
90,24,2,695,2780.198743,6058.983809,971
90,24,2,694,2780.198743,6058.983809,971
90,24,2,600,2334.549115,4731.807503,729
90,24,2,535,2891.121374,5535.899737,891
90,24,2,458,2383.411677,4413.754488,689
90,24,2,457,2383.411677,4413.754488,689
90,24,2,406,3052.418786,5198.220372,812
90,24,2,320,2076.541066,4798.295748,768
90,24,2,265,2883.363938,6174.175858,971
100,24,2,755,2044.236210,5263.637645,848
100,24,2,695,2780.198743,6058.983809,971
100,24,2,694,2780.198743,6058.983809,971
100,24,2,600,2334.549115,4731.807503,729
100,24,2,535,2872.580724,5556.898384,891
100,24,2,458,2383.411677,4413.754488,689
100,24,2,457,2383.411677,4413.754488,689
100,24,2,406,3031.939704,5219.821829,812
100,24,2,320,2056.328251,4817.163010,768
100,24,2,265,2782.922869,6266.919557,1011
110,24,2,755,1942.872142,5368.934444,847
110,24,2,695,2780.198743,6058.983809,971
110,24,2,694,2780.198743,6058.983809,971
110,24,2,600,2334.549115,4731.807503,729
110,24,2,535,2853.919882,5577.790293,891
110,24,2,458,2383.411677,4413.754488,689
110,24,2,457,2383.411677,4413.754488,689
110,24,2,406,3008.714138,5238.438726,812
110,24,2,320,2056.328251,4817.163010,768
110,24,2,265,2686.534480,6363.868412,1010
120,24,2,755,1847.323009,5479.534864,847
120,24,2,695,2780.198743,6058.983809,971
120,24,2,694,2780.198743,6058.983809,971
