time_from,time_to,region_from,region_to,Ndev_true
0,10,1,1,18
0,10,2,2,14
0,10,3,3,33
0,10,4,4,15
0,10,5,3,2
0,10,5,5,23
0,10,6,6,15
0,10,7,5,2
0,10,7,7,30
0,10,8,8,10
0,10,8,9,1
0,10,9,6,1
0,10,9,9,23
0,10,10,7,1
0,10,10,10,29
10,20,1,1,18
10,20,2,2,14
10,20,3,3,35
10,20,4,4,15
10,20,5,3,1
10,20,5,5,24
10,20,6,6,15
10,20,6,7,1
10,20,7,7,31
10,20,8,8,10
10,20,9,6,1
10,20,9,9,23
10,20,10,7,2
10,20,10,10,27
20,30,1,1,17
20,30,1,2,1
20,30,2,2,13
20,30,2,3,1
20,30,3,3,36
20,30,4,4,15
20,30,5,3,2
20,30,5,5,22
20,30,6,6,16
20,30,7,5,4
20,30,7,7,30
20,30,8,8,10
20,30,9,9,23
20,30,10,10,27
30,40,1,1,17
30,40,2,2,14
30,40,3,3,39
30,40,4,4,15
30,40,5,3,1
30,40,5,5,25
30,40,6,6,16
30,40,7,7,30
30,40,8,8,10
30,40,9,9,23
30,40,10,10,27
40,50,1,1,17
40,50,2,2,14
40,50,3,3,40
40,50,4,4,15
40,50,5,3,1
40,50,5,5,24
40,50,6,4,1
40,50,6,6,15
40,50,7,5,1
40,50,7,7,29
40,50,8,8,10
40,50,9,9,23
40,50,10,7,1
40,50,10,10,26
50,60,1,1,17
50,60,2,2,13
50,60,2,3,1
50,60,3,3,41
50,60,4,4,16
50,60,5,5,25
50,60,6,6,15
50,60,7,7,30
50,60,8,8,10
50,60,9,9,23
50,60,10,10,26
60,70,1,1,17
60,70,2,2,13
60,70,3,3,42
60,70,4,2,1
60,70,4,4,15
60,70,5,5,25
60,70,6,6,15
60,70,7,7,30
60,70,8,8,9
60,70,8,9,1
60,70,9,7,2
60,70,9,9,21
60,70,10,10,26
70,80,1,1,17
70,80,2,2,14
70,80,3,3,42
70,80,4,4,14
70,80,4,5,1
70,80,5,5,25
70,80,6,6,15
70,80,7,7,32
70,80,8,8,7
70,80,8,9,2
70,80,9,9,22
70,80,10,7,1
70,80,10,10,25
80,90,1,1,17
80,90,2,2,14
80,90,3,3,42
80,90,4,2,1
80,90,4,4,13
80,90,5,5,26
80,90,6,6,14
80,90,6,7,1
80,90,7,7,33
80,90,8,8,7
80,90,9,9,23
80,90,9,10,1
80,90,10,10,25
90,100,1,1,17
90,100,2,2,15
90,100,3,2,1
90,100,3,3,41
90,100,4,4,13
90,100,5,5,26
90,100,6,6,14
90,100,7,7,34
90,100,8,8,7
90,100,9,9,21
90,100,9,10,2
90,100,10,10,26
100,110,1,1,17
100,110,2,2,16
100,110,3,3,41
100,110,4,4,13
100,110,5,5,26
100,110,6,6,14
100,110,7,5,1
100,110,7,7,32
100,110,7,10,1
100,110,8,8,7
100,110,9,6,1
100,110,9,9,20
100,110,10,7,1
100,110,10,10,27
110,120,1,1,17
110,120,2,2,16
110,120,3,3,41
110,120,4,4,13
110,120,5,3,1
110,120,5,5,26
110,120,6,6,15
110,120,7,7,33
110,120,8,8,7
110,120,9,6,1
110,120,9,9,19
110,120,10,7,1
110,120,10,10,27
120,130,1,1,17
120,130,2,2,16
120,130,3,3,42
120,130,4,4,12
120,130,4,5,1
120,130,5,5,26
120,130,6,6,16
120,130,7,7,34
120,130,8,8,7
120,130,9,7,1
120,130,9,9,18
120,130,10,10,27
130,140,1,1,17
130,140,2,2,16
130,140,3,3,42
130,140,4,4,12
130,140,5,5,27
130,140,6,4,1
130,140,6,6,15
130,140,7,7,35
130,140,8,8,7
130,140,9,9,18
130,140,10,7,1
130,140,10,10,26
140,150,1,1,17
140,150,2,2,16
140,150,3,3,42
140,150,4,4,13
140,150,5,3,1
140,150,5,5,26
140,150,6,6,15
140,150,7,7,36
140,150,8,8,7
140,150,9,9,18
140,150,10,7,1
140,150,10,10,25
150,160,1,1,15
150,160,1,2,2
150,160,2,2,16
150,160,3,3,43
150,160,4,4,13
150,160,5,5,26
150,160,6,6,15
150,160,7,7,36
150,160,7,10,1
150,160,8,8,7
150,160,9,9,18
150,160,10,10,25
160,170,1,1,15
160,170,2,2,18
160,170,3,3,43
160,170,4,4,13
160,170,5,3,1
160,170,5,5,25
160,170,6,4,1
160,170,6,6,14
160,170,7,7,36
160,170,8,8,7
160,170,9,6,1
160,170,9,9,17
160,170,10,7,2
160,170,10,10,24
170,180,1,1,15
170,180,2,2,18
170,180,3,3,43
170,180,3,5,1
170,180,4,4,14
170,180,5,3,1
170,180,5,5,23
170,180,5,7,1
170,180,6,6,14
170,180,6,7,1
170,180,7,7,38
170,180,8,8,7
170,180,9,9,16
170,180,9,10,1
170,180,10,10,24
180,190,1,1,15
180,190,2,2,18
180,190,3,3,44
180,190,4,4,14
180,190,5,5,24
180,190,6,6,14
180,190,7,7,40
180,190,8,8,7
180,190,9,6,1
180,190,9,9,15
180,190,10,7,2
180,190,10,10,23
190,200,1,1,15
190,200,2,2,18
190,200,3,3,44
190,200,4,4,14
190,200,5,5,24
190,200,6,6,15
190,200,7,7,42
190,200,8,6,1
