time,region,Ndev_true
0,1,18
0,2,14
0,3,33
0,4,15
0,5,25
0,6,15
0,7,32
0,8,11
0,9,24
0,10,30
10,1,18
10,2,14
10,3,35
10,4,15
10,5,25
10,6,16
10,7,31
10,8,10
10,9,24
10,10,29
20,1,18
20,2,14
20,3,36
20,4,15
20,5,24
20,6,16
20,7,34
20,8,10
20,9,23
20,10,27
30,1,17
30,2,14
30,3,39
30,4,15
30,5,26
30,6,16
30,7,30
30,8,10
30,9,23
30,10,27
40,1,17
40,2,14
40,3,40
40,4,15
40,5,25
40,6,16
40,7,30
40,8,10
40,9,23
40,10,27
50,1,17
50,2,14
50,3,41
50,4,16
50,5,25
50,6,15
50,7,30
50,8,10
50,9,23
50,10,26
60,1,17
60,2,13
60,3,42
60,4,16
60,5,25
60,6,15
60,7,30
60,8,10
60,9,23
60,10,26
70,1,17
70,2,14
70,3,42
70,4,15
70,5,25
70,6,15
70,7,32
70,8,9
70,9,22
70,10,26
80,1,17
80,2,14
80,3,42
80,4,14
80,5,26
80,6,15
80,7,33
80,8,7
80,9,24
80,10,25
90,1,17
90,2,15
90,3,42
90,4,13
90,5,26
90,6,14
90,7,34
90,8,7
90,9,23
90,10,26
100,1,17
100,2,16
100,3,41
100,4,13
100,5,26
100,6,14
100,7,34
100,8,7
100,9,21
100,10,28
110,1,17
110,2,16
110,3,41
110,4,13
110,5,27
110,6,15
110,7,33
110,8,7
110,9,20
110,10,28
120,1,17
120,2,16
120,3,42
120,4,13
120,5,26
120,6,16
120,7,34
120,8,7
120,9,19
120,10,27
130,1,17
130,2,16
130,3,42
130,4,12
130,5,27
130,6,16
130,7,35
130,8,7
130,9,18
130,10,27
140,1,17
140,2,16
140,3,42
140,4,13
140,5,27
140,6,15
140,7,36
140,8,7
140,9,18
140,10,26
150,1,17
150,2,16
150,3,43
150,4,13
150,5,26
150,6,15
150,7,37
150,8,7
150,9,18
150,10,25
160,1,15
160,2,18
160,3,43
160,4,13
160,5,26
160,6,15
160,7,36
160,8,7
160,9,18
160,10,26
170,1,15
170,2,18
170,3,44
170,4,14
170,5,25
170,6,15
170,7,38
170,8,7
170,9,17
170,10,24
180,1,15
180,2,18
180,3,44
180,4,14
180,5,24
180,6,14
180,7,40
180,8,7
180,9,16
180,10,25
190,1,15
190,2,18
190,3,44
190,4,14
190,5,24
190,6,15
190,7,42
190,8,7
190,9,15
190,10,23
200,1,15
200,2,18
200,3,44
200,4,14
200,5,24
200,6,16
200,7,42
200,8,6
200,9,15
200,10,23
210,1,15
210,2,18
210,3,44
210,4,14
210,5,26
210,6,16
210,7,37
210,8,6
210,9,15
210,10,26
220,1,15
220,2,20
220,3,46
220,4,14
220,5,21
220,6,16
220,7,38
220,8,6
220,9,15
220,10,26
230,1,15
230,2,19
230,3,46
230,4,14
230,5,25
230,6,16
230,7,34
230,8,6
230,9,14
230,10,28
240,1,15
240,2,20
240,3,45
240,4,14
240,5,25
240,6,16
240,7,36
240,8,6
240,9,14
240,10,26
250,1,15
250,2,19
250,3,47
250,4,16
250,5,25
250,6,14
250,7,36
250,8,6
250,9,13
250,10,26
260,1,15
260,2,19
260,3,47
260,4,17
260,5,26
260,6,13
260,7,36
260,8,6
260,9,13
260,10,25
270,1,15
270,2,18
270,3,49
270,4,17
270,5,25
270,6,13
270,7,37
270,8,5
270,9,13
270,10,25
280,1,15
280,2,18
280,3,48
280,4,17
280,5,26
280,6,13
280,7,37
280,8,2
280,9,16
280,10,25
290,1,16
290,2,16
290,3,49
290,4,17
290,5,26
290,6,13
290,7,37
290,8,2
290,9,16
290,10,25
300,1,16
300,2,17
300,3,49
300,4,17
300,5,25
300,6,15
300,7,39
300,8,2
300,9,13
300,10,24
310,1,16
310,2,17
310,3,50
310,4,16
310,5,25
310,6,15
310,7,39
310,8,2
310,9,13
310,10,24
320,1,16
320,2,17
320,3,52
320,4,15
320,5,25
320,6,13
320,7,40
320,8,2
320,9,13
320,10,24
330,1,16
330,2,17
330,3,52
330,4,15
330,5,24
330,6,15
330,7,39
330,8,2
330,9,11
330,10,26
340,1,16
340,2,17
340,3,52
340,4,15
340,5,24
340,6,15
340,7,38
340,8,2
340,9,11
340,10,27
350,1,16
350,2,17
350,3,52
350,4,15
350,5,26
350,6,15
350,7,37
350,8,1
350,9,12
350,10,26
360,1,16
360,2,17
360,3,52
360,4,15
360,5,28
360,6,15
360,7,34
360,8,1
360,9,12
360,10,27
370,1,15
370,2,18
370,3,53
370,4,15
370,5,27
370,6,15
370,7,34
370,8,1
370,9,12
370,10,27
380,1,15
380,2,18
380,3,54
380,4,15
380,5,26
380,6,15
380,7,35
380,8,1
380,9,12
380,10,26
390,1,15
390,2,19
390,3,53
390,4,15
390,5,26
390,6,15
390,7,34
390,8,1
390,9,12
390,10,27
400,1,15
400,2,19
400,3,54
400,4,15
400,5,25
400,6,15
400,7,34
400,8,1
400,9,11
400,10,28
410,1,15
410,2,19
410,3,55
410,4,15
410,5,25
410,6,15
410,7,32
410,8,1
410,9,11
410,10,29
420,1,15
420,2,19
420,3,55
420,4,15
420,5,24
420,6,14
420,7,35
420,8,1
420,9,10
420,10,29
430,1,15
430,2,20
430,3,55
430,4,15
430,5,24
430,6,13
430,7,35
430,8,1
430,9,10
430,10,29
440,1,15
440,2,19
440,3,56
440,4,15
440,5,24
440,6,13
440,7,33
440,8,1
440,9,9
440,10,32
450,1,15
450,2,19
450,3,55
450,4,15
450,5,25
450,6,13
450,7,33
450,8,1
450,9,9
450,10,32
460,1,17
460,2,19
460,3,55
460,4,13
460,5,26
460,6,13
460,7,32
460,8,1
460,9,9
460,10,32
470,1,17
470,2,19
470,3,56
470,4,13
470,5,25
470,6,13
470,7,32
470,8,1
470,9,9
470,10,32
480,1,19
480,2,21
480,3,54
480,4,10
480,5,26
480,6,13
480,7,32
480,8,1
480,9,9
480,10,32
490,1,19
490,2,20
490,3,54
490,4,10
490,5,27
490,6,13
490,7,32
490,8,1
490,9,9
490,10,32
500,1,19
500,2,20
500,3,57
500,4,10
500,5,26
500,6,13
500,7,29
500,8,1
500,9,9
500,10,33
510,1,19
510,2,20
510,3,58
510,4,12
510,5,24
510,6,12
510,7,31
510,8,1
510,9,9
510,10,31
520,1,20
520,2,19
520,3,59
520,4,13
520,5,22
520,6,12
520,7,29
520,8,1
520,9,9
520,10,33
530,1,20
530,2,20
530,3,58
530,4,13
530,5,22
530,6,12
530,7,29
530,8,1
530,9,9
530,10,33
540,1,21
540,2,19
540,3,57
540,4,14
540,5,22
540,6,15
540,7,27
540,8,1
540,9,8
540,10,33
550,1,21
550,2,20
550,3,58
550,4,13
550,5,21
550,6,15
550,7,27
550,8,1
550,9,9
550,10,32
560,1,21
560,2,20
560,3,58
560,4,13
560,5,21
560,6,15
560,7,27
560,8,2
560,9,8
560,10,32
570,1,21
570,2,20
570,3,58
570,4,14
570,5,21
570,6,14
570,7,26
570,8,3
570,9,7
570,10,33
580,1,21
580,2,20
580,3,60
580,4,14
580,5,19
580,6,14
580,7,25
580,8,3
580,9,7
580,10,34
590,1,21
590,2,21
590,3,60
590,4,14
590,5,19
590,6,13
590,7,25
590,8,3
590,9,7
590,10,34
600,1,21
600,2,22
600,3,60
600,4,14
600,5,18
600,6,13
600,7,27
600,8,3
600,9,7
600,10,32
610,1,21
610,2,22
610,3,60
610,4,14
610,5,18
610,6,13
610,7,27
610,8,3
610,9,7
610,10,32
620,1,23
620,2,21
620,3,59
620,4,13
620,5,21
620,6,13
620,7,26
620,8,3
620,9,7
620,10,31
630,1,22
630,2,21
630,3,59
630,4,14
630,5,21
630,6,13
630,7,26
630,8,4
630,9,6
630,10,31
640,1,24
640,2,21
640,3,59
640,4,12
640,5,21
640,6,13
640,7,26
640,8,4
640,9,6
640,10,31
650,1,24
650,2,20
650,3,59
650,4,13
650,5,22
650,6,13
650,7,25
650,8,4
650,9,6
650,10,31
660,1,26
660,2,22
