time_from,time_to,region_from,region_to,Nnet_true
0,10,1,1,16
0,10,2,2,13
0,10,3,3,31
0,10,4,4,11
0,10,5,3,1
0,10,5,5,19
0,10,6,6,13
0,10,7,5,2
0,10,7,7,24
0,10,8,8,9
0,10,8,9,1
0,10,9,6,1
0,10,9,9,21
0,10,10,7,1
0,10,10,10,22
10,20,1,1,16
10,20,2,2,13
10,20,3,3,32
10,20,4,4,11
10,20,5,3,1
10,20,5,5,20
10,20,6,6,13
10,20,6,7,1
10,20,7,7,25
10,20,8,8,9
10,20,9,6,1
10,20,9,9,21
10,20,10,7,2
10,20,10,10,20
20,30,1,1,15
20,30,1,2,1
20,30,2,2,12
20,30,2,3,1
20,30,3,3,33
20,30,4,4,11
20,30,5,3,2
20,30,5,5,18
20,30,6,6,14
20,30,7,5,3
20,30,7,7,25
20,30,8,8,9
20,30,9,9,21
20,30,10,10,20
30,40,1,1,15
30,40,2,2,13
30,40,3,3,36
30,40,4,4,11
30,40,5,3,1
30,40,5,5,20
30,40,6,6,14
30,40,7,7,25
30,40,8,8,9
30,40,9,9,21
30,40,10,10,20
40,50,1,1,15
40,50,2,2,13
40,50,3,3,37
40,50,4,4,11
40,50,5,3,1
40,50,5,5,19
40,50,6,4,1
40,50,6,6,13
40,50,7,5,1
40,50,7,7,24
40,50,8,8,9
40,50,9,9,21
40,50,10,7,1
40,50,10,10,19
50,60,1,1,15
50,60,2,2,12
50,60,2,3,1
50,60,3,3,38
50,60,4,4,12
50,60,5,5,20
50,60,6,6,13
50,60,7,7,25
50,60,8,8,9
50,60,9,9,21
50,60,10,10,19
60,70,1,1,15
60,70,2,2,12
60,70,3,3,39
60,70,4,2,1
60,70,4,4,11
60,70,5,5,20
60,70,6,6,13
60,70,7,7,25
60,70,8,8,8
60,70,8,9,1
60,70,9,7,1
60,70,9,9,20
60,70,10,10,19
70,80,1,1,15
70,80,2,2,13
70,80,3,3,39
70,80,4,4,10
70,80,4,5,1
70,80,5,5,20
70,80,6,6,13
70,80,7,7,26
70,80,8,8,6
70,80,8,9,2
70,80,9,9,21
70,80,10,7,1
70,80,10,10,18
80,90,1,1,15
80,90,2,2,13
80,90,3,3,39
80,90,4,2,1
80,90,4,4,9
80,90,5,5,21
80,90,6,6,12
80,90,6,7,1
80,90,7,7,27
80,90,8,8,6
80,90,9,9,22
80,90,9,10,1
80,90,10,10,18
90,100,1,1,15
90,100,2,2,14
90,100,3,2,1
90,100,3,3,38
90,100,4,4,9
90,100,5,5,21
90,100,6,6,12
90,100,7,7,28
90,100,8,8,6
90,100,9,9,20
90,100,9,10,2
90,100,10,10,19
100,110,1,1,15
100,110,2,2,15
100,110,3,3,38
100,110,4,4,9
100,110,5,5,21
100,110,6,6,12
100,110,7,5,1
100,110,7,7,26
100,110,7,10,1
100,110,8,8,6
100,110,9,6,1
100,110,9,9,19
100,110,10,7,1
100,110,10,10,20
110,120,1,1,15
110,120,2,2,15
110,120,3,3,38
110,120,4,4,9
110,120,5,3,1
110,120,5,5,21
110,120,6,6,13
110,120,7,7,27
110,120,8,8,6
110,120,9,6,1
110,120,9,9,18
110,120,10,7,1
110,120,10,10,20
120,130,1,1,15
120,130,2,2,15
120,130,3,3,39
120,130,4,4,8
120,130,4,5,1
120,130,5,5,21
120,130,6,6,14
120,130,7,7,28
120,130,8,8,6
120,130,9,7,1
120,130,9,9,17
120,130,10,10,20
130,140,1,1,15
130,140,2,2,15
130,140,3,3,39
130,140,4,4,8
130,140,5,5,22
130,140,6,4,1
130,140,6,6,13
130,140,7,7,29
130,140,8,8,6
130,140,9,9,17
130,140,10,7,1
130,140,10,10,19
140,150,1,1,15
140,150,2,2,15
140,150,3,3,39
140,150,4,4,9
140,150,5,3,1
140,150,5,5,21
140,150,6,6,13
140,150,7,7,30
140,150,8,8,6
140,150,9,9,17
140,150,10,7,1
140,150,10,10,18
150,160,1,1,14
150,160,1,2,1
150,160,2,2,15
150,160,3,3,40
150,160,4,4,9
150,160,5,5,21
150,160,6,6,13
150,160,7,7,30
150,160,7,10,1
150,160,8,8,6
150,160,9,9,17
150,160,10,10,18
160,170,1,1,14
160,170,2,2,16
160,170,3,3,40
160,170,4,4,9
160,170,5,3,1
160,170,5,5,20
160,170,6,4,1
160,170,6,6,12
160,170,7,7,30
160,170,8,8,6
160,170,9,6,1
160,170,9,9,16
160,170,10,7,1
160,170,10,10,18
170,180,1,1,14
170,180,2,2,16
170,180,3,3,40
170,180,3,5,1
170,180,4,4,10
170,180,5,3,1
170,180,5,5,18
170,180,5,7,1
170,180,6,6,12
170,180,6,7,1
170,180,7,7,31
170,180,8,8,6
170,180,9,9,15
170,180,9,10,1
170,180,10,10,18
180,190,1,1,14
180,190,2,2,16
180,190,3,3,41
180,190,4,4,10
180,190,5,5,19
180,190,6,6,12
180,190,7,7,33
180,190,8,8,6
180,190,9,6,1
180,190,9,9,14
180,190,10,7,2
180,190,10,10,17
190,200,1,1,14
190,200,2,2,16
190,200,3,3,41
190,200,4,4,10
190,200,5,5,19
190,200,6,6,13
190,200,7,7,35
190,200,8,6,1
190,200,8,8,5
190,200,9,9,14
190,200,10,10,17
200,210,1,1,14
200,210,2,2,16
200,210,3,3,41
200,210,4,4,10
200,210,5,5,19
200,210,6,6,14
200,210,7,5,1
200,210,7,7,32
200,210,7,10,2
200,210,8,8,5
200,210,9,9,14
200,210,10,10,17
210,220,1,1,14
210,220,2,2,16
210,220,3,2,1
210,220,3,3,40
210,220,4,4,10
210,220,5,2,1
210,220,5,3,2
210,220,5,5,16
210,220,5,7,1
210,220,6,6,14
210,220,7,7,32
210,220,8,8,5
210,220,9,9,14
210,220,10,10,19
220,230,1,1,14
220,230,2,2,17
220,230,2,3,1
220,230,3,3,41
220,230,3,5,1
220,230,4,4,10
220,230,5,5,16
220,230,6,6,14
220,230,7,5,3
220,230,7,7,29
220,230,7,10,1
220,230,8,8,5
220,230,9,7,1
220,230,9,9,13
220,230,10,10,19
230,240,1,1,14
230,240,2,2,17
230,240,3,2,1
230,240,3,3,41
230,240,4,4,10
230,240,5,5,19
230,240,5,7,1
230,240,6,6,14
230,240,7,5,1
230,240,7,7,29
230,240,8,8,5
230,240,9,9,13
230,240,10,7,1
230,240,10,10,19
240,250,1,1,14
240,250,2,2,17
240,250,2,3,1
240,250,3,3,41
240,250,4,4,10
240,250,5,3,1
240,250,5,5,19
240,250,6,4,1
240,250,6,6,13
240,250,7,5,1
240,250,7,7,30
240,250,8,8,5
240,250,9,7,1
240,250,9,9,12
240,250,10,10,19
250,260,1,1,14
250,260,2,2,17
250,260,3,3,43
250,260,4,4,11
250,260,5,5,20
250,260,6,4,1
250,260,6,6,12
250,260,7,5,1
250,260,7,7,30
250,260,8,8,5
250,260,9,9,12
250,260,10,7,1
250,260,10,10,18
