time,region,Nnet_true
0,1,22
0,2,9
0,3,31
0,4,11
0,5,17
0,6,21
0,7,20
0,8,6
0,9,24
0,10,15
10,1,21
10,2,10
10,3,33
10,4,12
10,5,16
10,6,21
10,7,19
10,8,5
10,9,24
10,10,15
20,1,21
20,2,10
20,3,32
20,4,13
20,5,18
20,6,20
20,7,19
20,8,5
20,9,24
20,10,14
30,1,21
30,2,10
30,3,32
30,4,13
30,5,20
30,6,19
30,7,18
30,8,5
30,9,23
30,10,15
40,1,21
40,2,10
40,3,32
40,4,15
40,5,21
40,6,16
40,7,20
40,8,5
40,9,23
40,10,13
50,1,21
50,2,10
50,3,32
50,4,16
50,5,21
50,6,14
50,7,23
50,8,5
50,9,22
50,10,12
60,1,21
60,2,10
60,3,33
60,4,15
60,5,20
60,6,14
60,7,24
60,8,5
60,9,22
60,10,12
70,1,20
70,2,11
70,3,34
70,4,15
70,5,20
70,6,14
70,7,23
70,8,5
70,9,22
70,10,12
80,1,20
80,2,11
80,3,35
80,4,15
80,5,19
80,6,14
80,7,23
80,8,5
80,9,22
80,10,12
90,1,18
90,2,12
90,3,36
90,4,15
90,5,21
90,6,13
90,7,22
90,8,5
90,9,22
90,10,12
100,1,17
100,2,13
100,3,36
100,4,15
100,5,21
100,6,11
100,7,24
100,8,5
100,9,21
100,10,13
110,1,17
110,2,13
110,3,36
110,4,15
110,5,21
110,6,12
110,7,24
110,8,5
110,9,20
110,10,13
120,1,16
120,2,15
120,3,36
120,4,14
120,5,22
120,6,13
120,7,23
120,8,5
120,9,19
120,10,13
130,1,16
130,2,15
130,3,36
130,4,14
130,5,22
130,6,13
130,7,24
130,8,4
130,9,19
130,10,13
140,1,15
140,2,15
140,3,36
140,4,14
140,5,23
140,6,15
140,7,24
140,8,4
140,9,17
140,10,13
150,1,14
150,2,16
150,3,36
150,4,14
150,5,23
150,6,15
150,7,24
150,8,4
150,9,17
150,10,13
160,1,15
160,2,16
160,3,36
160,4,13
160,5,24
160,6,14
160,7,24
160,8,4
160,9,15
160,10,15
170,1,16
170,2,16
170,3,36
170,4,13
170,5,25
170,6,13
170,7,26
170,8,4
170,9,14
170,10,13
180,1,15
180,2,17
180,3,36
180,4,13
180,5,25
180,6,12
180,7,28
180,8,4
180,9,14
180,10,12
190,1,15
190,2,18
190,3,36
190,4,12
190,5,26
190,6,12
190,7,27
190,8,4
190,9,14
190,10,12
200,1,16
200,2,18
200,3,36
200,4,11
200,5,27
200,6,12
200,7,27
200,8,4
200,9,13
200,10,12
210,1,16
210,2,18
210,3,36
210,4,10
210,5,28
210,6,11
210,7,28
210,8,4
210,9,13
210,10,12
220,1,17
220,2,16
220,3,39
220,4,10
220,5,27
220,6,10
220,7,28
220,8,4
220,9,13
220,10,12
230,1,17
230,2,17
230,3,38
230,4,9
230,5,29
230,6,9
230,7,29
230,8,4
230,9,13
230,10,11
240,1,17
240,2,17
240,3,39
240,4,9
240,5,29
240,6,8
240,7,29
240,8,4
240,9,13
240,10,11
250,1,17
250,2,17
250,3,39
250,4,9
250,5,30
250,6,8
250,7,28
250,8,4
250,9,12
250,10,12
260,1,18
260,2,16
260,3,39
260,4,9
260,5,30
260,6,8
260,7,28
260,8,4
260,9,12
260,10,12
270,1,18
270,2,17
270,3,39
270,4,9
270,5,29
270,6,9
270,7,28
270,8,3
270,9,12
270,10,12
280,1,19
280,2,16
280,3,38
280,4,9
280,5,30
280,6,9
280,7,29
280,8,3
280,9,12
280,10,11
290,1,19
290,2,16
290,3,39
290,4,9
290,5,29
290,6,9
290,7,30
290,8,3
290,9,11
290,10,11
300,1,19
300,2,16
300,3,44
300,4,9
300,5,23
300,6,9
300,7,31
300,8,3
300,9,11
300,10,11
310,1,17
310,2,19
310,3,42
310,4,8
310,5,25
310,6,8
310,7,32
310,8,3
310,9,11
310,10,11
320,1,17
320,2,18
320,3,43
320,4,7
320,5,26
320,6,8
320,7,32
320,8,3
320,9,11
320,10,11
330,1,17
330,2,18
330,3,44
330,4,7
330,5,26
330,6,7
330,7,32
330,8,3
330,9,10
330,10,12
340,1,17
340,2,18
340,3,45
340,4,7
340,5,26
340,6,7
340,7,32
340,8,3
340,9,9
340,10,12
350,1,16
350,2,19
350,3,45
350,4,7
350,5,26
350,6,7
350,7,32
350,8,3
350,9,9
350,10,12
360,1,16
360,2,19
360,3,45
360,4,7
360,5,25
360,6,7
360,7,33
360,8,3
360,9,9
360,10,12
370,1,16
370,2,19
370,3,46
370,4,7
370,5,24
370,6,7
370,7,33
370,8,3
370,9,9
370,10,12
380,1,16
380,2,19
380,3,45
380,4,7
380,5,28
380,6,7
380,7,30
380,8,3
380,9,9
380,10,12
390,1,16
390,2,19
390,3,45
390,4,8
390,5,27
390,6,6
390,7,31
390,8,3
390,9,9
390,10,12
400,1,16
400,2,19
400,3,46
400,4,8
400,5,26
400,6,6
400,7,31
400,8,3
400,9,9
400,10,12
410,1,16
410,2,19
410,3,46
410,4,8
410,5,26
410,6,6
410,7,31
410,8,3
410,9,9
410,10,12
420,1,16
420,2,19
420,3,45
420,4,8
420,5,27
420,6,6
420,7,31
420,8,3
420,9,9
420,10,12
430,1,16
430,2,19
430,3,45
430,4,6
430,5,29
430,6,6
430,7,31
430,8,3
430,9,9
430,10,12
440,1,17
440,2,18
440,3,45
440,4,6
440,5,29
440,6,6
440,7,31
440,8,2
440,9,10
440,10,12
450,1,18
450,2,18
450,3,45
450,4,5
450,5,29
450,6,6
450,7,31
450,8,3
450,9,9
450,10,12
460,1,17
460,2,19
460,3,47
460,4,6
460,5,25
460,6,6
460,7,32
460,8,3
460,9,9
460,10,12
470,1,17
470,2,19
470,3,47
470,4,6
470,5,26
470,6,6
470,7,31
470,8,3
470,9,9
470,10,12
480,1,18
480,2,20
480,3,45
480,4,5
480,5,29
480,6,6
480,7,29
480,8,3
480,9,9
480,10,12
490,1,18
490,2,20
490,3,45
490,4,5
490,5,30
490,6,6
490,7,28
490,8,3
490,9,9
490,10,12
500,1,18
500,2,21
500,3,45
500,4,5
500,5,30
500,6,6
500,7,28
500,8,3
500,9,9
500,10,11
510,1,18
510,2,21
510,3,44
510,4,5
510,5,30
510,6,6
510,7,27
510,8,3
510,9,9
510,10,13
520,1,18
520,2,22
520,3,45
520,4,5
520,5,28
520,6,6
520,7,27
520,8,3
520,9,10
520,10,12
530,1,18
530,2,24
530,3,45
530,4,5
530,5,27
530,6,6
530,7,26
530,8,3
530,9,10
530,10,12
540,1,18
540,2,24
540,3,44
540,4,5
540,5,29
540,6,6
540,7,25
540,8,3
540,9,11
540,10,11
550,1,18
550,2,24
550,3,45
550,4,6
550,5,27
550,6,6
550,7,26
550,8,3
550,9,11
550,10,10
560,1,19
560,2,23
560,3,45
560,4,7
560,5,26
560,6,6
560,7,26
560,8,3
560,9,11
560,10,10
570,1,19
570,2,22
570,3,44
570,4,8
570,5,27
570,6,7
570,7,25
570,8,3
570,9,11
570,10,10
580,1,19
580,2,22
580,3,46
580,4,8
580,5,25
580,6,8
580,7,25
580,8,3
580,9,10
580,10,10
590,1,18
590,2,23
590,3,47
590,4,8
590,5,24
590,6,8
590,7,23
590,8,3
590,9,10
590,10,12
600,1,19
600,2,22
600,3,47
600,4,8
600,5,24
600,6,8
600,7,24
600,8,3
600,9,10
600,10,11
610,1,18
610,2,25
610,3,45
610,4,8
610,5,24
610,6,8
610,7,23
610,8,3
610,9,10
610,10,12
620,1,18
620,2,24
620,3,45
620,4,8
620,5,26
620,6,9
620,7,23
620,8,3
620,9,9
620,10,11
630,1,18
630,2,26
630,3,43
630,4,8
630,5,26
630,6,9
630,7,21
630,8,3
630,9,9
630,10,13
640,1,18
640,2,26
640,3,43
640,4,8
640,5,27
640,6,9
640,7,19
640,8,3
640,9,10
640,10,13
650,1,18
650,2,25
650,3,44
650,4,8
650,5,28
650,6,9
650,7,18
650,8,3
650,9,10
650,10,13
660,1,18
660,2,25
660,3,44
660,4,8
660,5,27
660,6,9
660,7,19
660,8,3
