time,region,Ntarget_true
0,1,38
0,2,38
0,3,79
0,4,33
0,5,54
0,6,45
0,7,73
0,8,20
0,9,71
0,10,49
10,1,38
10,2,40
10,3,80
10,4,30
10,5,57
10,6,45
10,7,72
10,8,19
10,9,70
10,10,49
20,1,36
20,2,42
20,3,81
20,4,32
20,5,58
20,6,43
20,7,73
20,8,17
20,9,69
20,10,49
30,1,35
30,2,43
30,3,86
30,4,33
30,5,57
30,6,39
30,7,72
30,8,17
30,9,69
30,10,49
40,1,36
40,2,43
40,3,91
40,4,34
40,5,51
40,6,41
40,7,74
40,8,15
40,9,67
40,10,48
50,1,37
50,2,43
50,3,94
50,4,32
50,5,53
50,6,40
50,7,73
50,8,15
50,9,66
50,10,47
60,1,36
60,2,42
60,3,96
60,4,31
60,5,55
60,6,39
60,7,73
60,8,14
60,9,67
60,10,47
70,1,36
70,2,44
70,3,97
70,4,30
70,5,54
70,6,38
70,7,75
70,8,12
70,9,66
70,10,48
80,1,36
80,2,43
80,3,98
80,4,30
80,5,55
80,6,35
80,7,79
80,8,10
80,9,68
80,10,46
90,1,36
90,2,45
90,3,99
90,4,29
90,5,54
90,6,35
90,7,79
90,8,8
90,9,67
90,10,48
100,1,37
100,2,45
100,3,98
100,4,29
100,5,55
100,6,36
100,7,79
100,8,8
100,9,63
100,10,50
110,1,36
110,2,46
110,3,98
110,4,30
110,5,57
110,6,36
110,7,78
110,8,8
110,9,61
110,10,50
120,1,36
120,2,46
120,3,99
120,4,30
120,5,56
120,6,39
120,7,79
120,8,8
120,9,58
120,10,49
130,1,36
130,2,46
130,3,99
130,4,28
130,5,59
130,6,39
130,7,79
130,8,8
130,9,56
130,10,50
140,1,36
140,2,46
140,3,99
140,4,30
140,5,60
140,6,37
140,7,80
140,8,8
140,9,55
140,10,49
150,1,35
150,2,49
150,3,100
150,4,30
150,5,58
150,6,36
150,7,81
150,8,8
150,9,55
150,10,48
160,1,34
160,2,49
160,3,102
160,4,30
160,5,57
160,6,36
160,7,80
160,8,8
160,9,55
160,10,49
170,1,33
170,2,51
170,3,102
170,4,31
170,5,59
170,6,36
170,7,79
170,8,8
170,9,53
170,10,48
180,1,34
180,2,50
180,3,101
180,4,31
180,5,59
180,6,35
180,7,81
180,8,8
180,9,52
180,10,49
190,1,33
190,2,51
190,3,101
190,4,31
190,5,59
190,6,36
190,7,84
190,8,8
190,9,51
190,10,46
200,1,34
200,2,50
200,3,101
200,4,31
200,5,59
200,6,39
200,7,86
200,8,7
200,9,49
200,10,44
210,1,34
210,2,50
210,3,101
210,4,31
210,5,60
210,6,39
210,7,83
210,8,7
210,9,49
210,10,46
220,1,34
220,2,51
220,3,103
220,4,30
220,5,56
220,6,42
220,7,86
220,8,7
220,9,44
220,10,47
230,1,34
230,2,50
230,3,104
230,4,30
230,5,60
230,6,42
230,7,82
230,8,7
230,9,42
230,10,49
240,1,34
240,2,52
240,3,103
240,4,29
240,5,59
240,6,42
240,7,86
240,8,7
240,9,41
240,10,47
250,1,35
250,2,51
250,3,105
250,4,29
250,5,60
250,6,40
250,7,87
250,8,7
250,9,39
250,10,47
260,1,34
260,2,51
260,3,106
260,4,30
260,5,62
260,6,38
260,7,88
260,8,7
260,9,39
260,10,45
270,1,34
270,2,50
270,3,110
270,4,28
270,5,62
270,6,38
270,7,90
270,8,6
270,9,39
270,10,43
280,1,35
280,2,50
280,3,109
280,4,28
280,5,63
280,6,39
280,7,90
280,8,4
280,9,39
280,10,43
290,1,34
290,2,49
290,3,111
290,4,29
290,5,64
290,6,38
290,7,90
290,8,4
290,9,39
290,10,42
300,1,35
300,2,49
300,3,111
300,4,28
300,5,65
300,6,38
300,7,92
300,8,4
300,9,37
300,10,41
310,1,35
310,2,49
310,3,111
310,4,27
310,5,66
310,6,37
310,7,93
310,8,4
310,9,37
310,10,41
320,1,36
320,2,50
320,3,112
320,4,24
320,5,69
320,6,35
320,7,92
320,8,4
320,9,37
320,10,41
330,1,37
330,2,50
330,3,115
330,4,23
330,5,64
330,6,34
330,7,94
330,8,4
330,9,36
330,10,43
340,1,37
340,2,50
340,3,115
340,4,23
340,5,66
340,6,32
340,7,93
340,8,4
340,9,36
340,10,44
350,1,37
350,2,47
350,3,119
350,4,24
350,5,66
350,6,31
350,7,93
350,8,3
350,9,37
350,10,43
360,1,36
360,2,48
360,3,119
360,4,23
360,5,70
360,6,31
360,7,88
360,8,3
360,9,37
360,10,45
370,1,34
370,2,50
370,3,121
370,4,23
370,5,67
370,6,30
370,7,90
370,8,3
370,9,37
370,10,45
380,1,34
380,2,50
380,3,122
380,4,22
380,5,69
380,6,29
380,7,89
380,8,3
380,9,37
380,10,45
390,1,34
390,2,51
390,3,122
390,4,22
390,5,68
390,6,28
390,7,89
390,8,3
390,9,37
390,10,46
400,1,34
400,2,51
400,3,124
400,4,22
400,5,66
400,6,28
400,7,88
400,8,3
400,9,36
400,10,48
410,1,34
410,2,51
410,3,126
410,4,22
410,5,66
410,6,28
410,7,86
410,8,3
410,9,36
410,10,48
420,1,34
420,2,52
420,3,126
420,4,23
420,5,64
420,6,27
420,7,89
420,8,3
420,9,35
420,10,47
430,1,35
430,2,51
430,3,128
430,4,22
430,5,65
430,6,26
430,7,88
430,8,3
430,9,35
430,10,47
440,1,34
440,2,51
440,3,129
440,4,21
440,5,69
440,6,27
440,7,84
440,8,3
440,9,33
440,10,49
450,1,35
450,2,51
450,3,127
450,4,22
450,5,68
450,6,27
450,7,85
450,8,3
450,9,33
450,10,49
460,1,36
460,2,52
460,3,126
460,4,21
460,5,70
460,6,27
460,7,82
460,8,3
460,9,33
460,10,50
470,1,36
470,2,52
470,3,128
470,4,21
470,5,67
470,6,27
470,7,84
470,8,3
470,9,33
470,10,49
480,1,37
480,2,52
480,3,128
480,4,19
480,5,70
480,6,27
480,7,82
480,8,3
480,9,32
480,10,50
490,1,36
490,2,49
490,3,131
490,4,21
490,5,69
490,6,28
490,7,81
490,8,3
490,9,32
490,10,50
500,1,37
500,2,49
500,3,132
500,4,22
500,5,68
500,6,28
500,7,78
500,8,3
500,9,32
500,10,51
510,1,37
510,2,49
510,3,133
510,4,24
510,5,67
510,6,28
510,7,77
510,8,3
510,9,32
510,10,50
520,1,37
520,2,49
520,3,134
520,4,27
520,5,65
520,6,27
520,7,76
520,8,3
520,9,31
520,10,51
530,1,38
530,2,49
530,3,132
530,4,29
530,5,66
530,6,26
530,7,75
530,8,3
530,9,31
530,10,51
540,1,37
540,2,50
540,3,131
540,4,30
540,5,65
540,6,28
540,7,76
540,8,3
540,9,29
540,10,51
550,1,37
550,2,52
550,3,130
550,4,29
550,5,67
550,6,29
550,7,73
550,8,3
550,9,29
550,10,51
560,1,37
560,2,54
560,3,131
560,4,29
560,5,64
560,6,29
560,7,74
560,8,4
560,9,28
560,10,50
570,1,37
570,2,52
570,3,133
570,4,32
570,5,64
570,6,27
570,7,72
570,8,5
570,9,27
570,10,51
580,1,37
580,2,52
580,3,134
580,4,33
580,5,63
580,6,27
580,7,72
580,8,5
580,9,26
580,10,51
590,1,38
590,2,51
590,3,136
590,4,35
590,5,61
590,6,25
590,7,73
590,8,5
590,9,26
590,10,50
600,1,37
600,2,54
600,3,135
600,4,37
600,5,59
600,6,25
600,7,73
600,8,5
600,9,26
600,10,49
610,1,37
610,2,53
610,3,136
610,4,37
610,5,59
610,6,25
610,7,73
610,8,5
610,9,26
610,10,49
620,1,41
620,2,52
620,3,136
620,4,35
620,5,59
620,6,25
620,7,73
620,8,5
620,9,26
620,10,48
630,1,40
630,2,51
630,3,136
630,4,37
630,5,59
630,6,27
630,7,74
630,8,6
630,9,24
630,10,46
640,1,42
640,2,50
640,3,138
640,4,35
640,5,62
640,6,27
640,7,70
640,8,6
640,9,24
640,10,46
650,1,42
650,2,49
650,3,139
650,4,37
650,5,62
650,6,27
650,7,71
650,8,6
650,9,23
650,10,44
660,1,43
660,2,53
660,3,139
660,4,33
660,5,63
660,6,26
660,7,70
660,8,6
660,9,23
660,10,44
670,1,45
670,2,51
670,3,139
670,4,35
670,5,62
670,6,25
670,7,71
670,8,6
670,9,23
670,10,43
680,1,45
680,2,52
680,3,138
680,4,35
680,5,63
680,6,26
680,7,70
680,8,6
680,9,22
680,10,43
690,1,46
690,2,53
690,3,138
690,4,33
690,5,64
690,6,26
690,7,69
690,8,6
690,9,23
690,10,42
700,1,50
700,2,51
700,3,138
700,4,31
700,5,65
700,6,26
700,7,70
700,8,6
700,9,22
700,10,41
710,1,50
710,2,51
710,3,138
710,4,30
710,5,67
710,6,27
710,7,70
710,8,6
710,9,22
710,10,39
720,1,51
720,2,49
720,3,140
720,4,29
720,5,69
720,6,27
720,7,68
720,8,6
720,9,22
720,10,39
730,1,50
730,2,50
730,3,141
730,4,29
730,5,69
730,6,28
730,7,68
730,8,6
730,9,21
730,10,38
740,1,51
740,2,51
740,3,139
740,4,29
740,5,69
740,6,28
740,7,69
740,8,6
740,9,21
740,10,37
750,1,52
750,2,51
750,3,140
750,4,28
750,5,67
750,6,29
750,7,69
750,8,6
750,9,21
750,10,37
760,1,53
760,2,50
760,3,141
760,4,28
760,5,66
760,6,29
760,7,69
760,8,6
760,9,21
760,10,37
770,1,52
770,2,52
770,3,139
770,4,29
770,5,68
