time,device,eventCode,antennaID,obsVar,personID,x,y,tile
0,104,0,21,21-0,103,846.868724,6656.111221,1043
0,106,0,27,27-0,105,2567.800526,2151.553844,330
0,116,0,12,12-0,115,413.051803,1673.614064,241
0,117,0,12,12-0,115,413.051803,1673.614064,241
0,119,0,61,61-0,118,8783.230081,2470.364033,395
0,120,0,61,61-0,118,8783.230081,2470.364033,395
0,122,0,18,18-0,121,3479.88665,9933.065525,1573
0,127,0,10,10-0,126,7839.12722,4090.229991,671
0,128,0,10,10-0,126,7839.12722,4090.229991,671
0,130,0,19,19-0,129,413.084799,7030.072551,1121
0,132,0,23,23-0,131,194.852678,4758.211388,760
0,134,0,21,21-0,133,1451.631925,6591.538883,1045
0,141,0,01,01-0,140,1533.663496,9304.150286,1486
0,142,0,01,01-0,140,1533.663496,9304.150286,1486
0,146,0,18,18-0,145,2295.192977,9378.323794,1489
0,150,0,53,53-0,149,7680.770925,3637.331807,590
0,152,0,21,21-0,151,1347.431112,6442.157465,1005
0,154,0,50,50-0,153,8950.258356,460.275946,75
0,156,0,19,19-0,155,360.208913,7824.32247,1241
0,159,0,37,37-0,158,1554.876608,1833.649578,286
0,160,0,37,37-0,158,1554.876608,1833.649578,286
0,162,0,27,27-0,161,3625.950394,2154.092587,334
0,164,0,22,22-0,163,1899.169964,8729.418306,1367
0,165,0,22,22-0,163,1899.169964,8729.418306,1367
0,169,0,32,32-0,168,7180.879588,8087.178243,1308
0,170,0,32,32-0,168,7180.879588,8087.178243,1308
0,173,0,34,34-0,172,9596.33082,8661.031825,1398
0,175,0,07,07-0,174,6099.669349,3806.365759,624
0,187,0,18,18-0,186,3613.739353,9854.179331,1574
0,190,0,25,25-0,189,1547.630371,2574.069677,406
0,192,0,04,04-0,191,9936.046823,6479.309233,1039
0,194,0,03,03-0,193,5284.398979,7494.097303,1181
0,198,0,45,45-0,197,5704.966891,3702.054473,582
0,202,0,52,52-0,201,7628.605831,1996.193881,310
0,204,0,68,68-0,203,7927.062683,5253.997153,871
0,207,0,03,03-0,206,5724.657672,6801.804821,1102
0,211,0,19,19-0,210,72.501688,7317.243937,1160
0,213,0,37,37-0,212,1258.218013,1816.869229,285
0,215,0,33,33-0,214,769.716355,1355.183429,203
0,216,0,33,33-0,214,769.716355,1355.183429,203
0,222,0,64,64-0,221,7779.252749,4448.570198,711
0,225,0,44,44-0,224,7040.615917,3214.622647,508
0,226,0,44,44-0,224,7040.615917,3214.622647,508
0,229,0,02,02-0,228,7546.662858,8885.667887,1430
0,230,0,02,02-0,228,7546.662858,8885.667887,1430
0,232,0,03,03-0,231,5255.272592,6538.420547,1061
0,235,0,35,35-0,234,9169.636762,9455.871872,1516
0,237,0,33,33-0,236,484.691339,1216.215053,161
0,243,0,58,58-0,242,7915.77514,6764.739161,1111
0,244,0,58,58-0,242,7915.77514,6764.739161,1111
0,246,0,28,28-0,245,3663.565363,6502.18694,1054
0,248,0,37,37-0,247,1263.401928,1413.64241,205
0,250,0,20,20-0,249,3704.815382,8029.036847,1294
0,252,0,67,67-0,251,9507.418974,5334.780637,878
0,255,0,17,17-0,254,4517.157599,9318.97133,1498
0,259,0,11,11-0,258,8859.605513,3103.136234,515
0,261,0,29,29-0,260,5101.343505,6023.388494,980
0,268,0,19,19-0,267,836.275945,7325.694035,1163
0,271,0,27,27-0,270,3167.507166,1837.568866,292
0,276,0,18,18-0,275,3952.391414,9521.390155,1535
0,279,0,01,01-0,278,845.122058,8803.328649,1403
0,283,0,28,28-0,282,3889.769811,6281.331077,1015
0,292,0,19,19-0,291,994.970363,6813.129659,1083
0,293,0,19,19-0,291,994.970363,6813.129659,1083
0,295,0,22,22-0,294,2900.987561,8045.916945,1291
0,296,0,22,22-0,294,2900.987561,8045.916945,1291
0,298,0,67,67-0,297,9192.258595,5453.490422,876
0,301,0,37,37-0,300,1645.706382,2079.436944,326
0,304,0,36,36-0,303,7696.431385,7767.576214,1270
0,305,0,36,36-0,303,7696.431385,7767.576214,1270
0,309,0,44,44-0,308,7002.603714,2770.771909,468
